issn,name
2331-0251,现代人类学
2164-540X,医学诊断
2329-7301,矿山工程
2373-1478,冶金工程
2167-6631,机械工程与技术
2330-1708,现代语言学
2160-7311,现代管理
2160-7362,现代市场营销
2324-8696,建模与仿真
2161-0916,现代物理
2160-7613,材料科学
2167-664X,管理科学与工程
2161-086X,纳米技术
2168-5657,护理学
2332-7111,核科学与技术
2164-5450,光电子
2328-0530,声学与振动
2327-0853,电路与系统
2373-1443,水产研究
2331-0332,历史学研究
2329-7360,法学（汉斯）
2330-1724,自然科学
2334-3338,水土保持
2326-3431,交通技术
2163-1476,运筹与模糊学
2160-441X,药物资讯
2160-7583,理论数学
2375-3315,千人·生物
2375-608X,千人·能源
2325-2251,统计学与应用
2160-7540,可持续发展
2164-9219,可持续能源
2325-2286,软件工程与应用
2161-8763,智能电网（汉斯）
2332-7944,合成化学研究
2324-7908,服务科学和管理
2166-6067,中医学
2325-1565,输配电工程与技术
2332-7901,城镇化与集约用地
2160-4398,职业教育（汉斯）
2167-6607,世界经济探索
2164-9049,世界肿瘤研究
2169-2432,林业世界
2330-5258,世界文学研究
2332-8010,水污染及处理
2476-1516,Design（汉斯）
2169-8821,亚洲肿瘤科病例研究
2169-8880,亚洲兽医病例研究
2574-4127,比较化学
2574-4143,交叉科学快报
2576-1110,微波化学
2169-253X,亚洲外科手术病例研究
2326-3490,亚洲心脑血管病例研究
2160-729X,教育进展
2164-5485,环境保护前沿
2538-0583,TMR非药物治疗
2537-9798,TMR现代中药
2522-6371,TMR整合护理
2521-3415,TMR整合医学
2538-015X,TMR肿瘤
2538-130X,TMR理论与假说
2095-6487,今日自动化
2221-8084,中国太阳能工程
2624-0548,TMR生命研究
2096-5192,中国地质(英文)
2624-2532,TMR经典中医研究
2468-2322,智能技术学报
2096-1111,脑血管病电子杂志
2009-8618,Cardiovascular Innovations and Applications
1002-3860,中学生作文指导
2315-4616,中西医结合杂志
2591-7617,医学科学进展杂志
2591-7595,建筑与工程前沿研究
2591-7633,教育理论综述
2630-516X,国际教育与实践
2630-5097,语言与教育研究
2424-7855,现代肿瘤学研究进展
2630-5224,内分泌系统研究
2630-5267,肿瘤学研究
2630-5259,老年医学
2630-5143,心理学研究
2630-4961,地质研究
2630-5054,植物研究
2630-5100,动物研究
2630-5194,工商管理研究
2630-5240,经济科学研究
2661-3379,生态学研究
2661-3387,水产科学杂志
2661-3867,兽医科学研究
2661-3239,海洋科学杂志
2661-3190,地球与环境科学
2630-5119,大气科学研究
2661-3360,宏观管理与公共政策
2661-3301,非金属材料科学
2661-3859,人体生理学杂志
2661-3875,有机高分子材料研究
2630-5070,地理研究
2630-5232,建筑环境与结构工程研究
2661-3204,电子信息系统杂志
2661-3212,半导体科学与信息器件
2630-5151,计算机科学研究
2630-4953,管理科学与工程研究
2630-5135,金属材料研究
2630-4945,机械工程研究
2661-3220,人工智能进展
2661-3247,电气科学与工程
2661-331X,水利科学与海洋工程
2591-7145,财经研究杂志
2591-7102,教育理论与管理杂志
2591-7129,现代电子技术
1949-243X,能源与动力工程
1947-3931,工程
